tenant-enable	POST	201	text/html;charset=utf-8	2	"-"	/_/tenant
provision-user-A	GET	200	application/json;charset=UTF-8	465	1	/servint/dashboard/my-dashboards
provision-user-B	GET	200	application/json;charset=UTF-8	465	1	/servint/dashboard/my-dashboards
dashboard-create	POST	200	application/json;charset=UTF-8	83	"-"	/servint/dashboard
dashboard-grants	POST	200	application/json;charset=UTF-8	857	2	/servint/dashboard/65988d4e-2190-4ba4-9b7e-bae52f701884/users
widget-type-import	POST	200	application/json;charset=UTF-8	15	"-"	/servint/admin/triggerTypeImport
widget-types	GET	200	application/json;charset=UTF-8	8849	1	/servint/widgets/types?perPage=100&sort=name%3Basc
widget-def-create	POST	201	application/json;charset=UTF-8	180	"-"	/servint/widgets/definitions
widget-def-verify	GET	200	application/json;charset=UTF-8	182	1	/servint/widgets/definitions?filters=name%3D%3Dm4-def&perPage=10
widget-def-create-retry	POST	500	text/html; charset=UTF-8	101	"-"	/servint/widgets/definitions
widget-def-verify-2	GET	200	application/json;charset=UTF-8	182	1	/servint/widgets/definitions?filters=name%3D%3Dm4-def&perPage=10
widget-instance-1	POST	201	application/json;charset=UTF-8	215	"-"	/servint/widgets/instances
widget-instance-2	POST	201	application/json;charset=UTF-8	231	"-"	/servint/widgets/instances
numgen-create	POST	201	application/json;charset=UTF-8	82	"-"	/servint/numberGenerators
numgen-seq-plain	POST	201	application/json;charset=UTF-8	253	"-"	/servint/numberGeneratorSequences
numgen-seq-checked	POST	201	application/json;charset=UTF-8	520	"-"	/servint/numberGeneratorSequences
numgen-consume-plain-1	GET	200	application/json;charset=UTF-8	78	"-"	/servint/numberGenerators/getNextNumber?generator=m4gen&sequence=plain
numgen-consume-plain-2	GET	200	application/json;charset=UTF-8	78	"-"	/servint/numberGenerators/getNextNumber?generator=m4gen&sequence=plain
numgen-consume-plain-3	GET	200	application/json;charset=UTF-8	78	"-"	/servint/numberGenerators/getNextNumber?generator=m4gen&sequence=plain
numgen-consume-checked	GET	200	application/json;charset=UTF-8	85	"-"	/servint/numberGenerators/getNextNumber?generator=m4gen&sequence=checked
numgen-list	GET	200	application/json;charset=UTF-8	5520	9	/servint/numberGenerators?sort=code%3Basc&perPage=100
numgen-consume-seeded	GET	200	application/json;charset=UTF-8	113	"-"	/servint/numberGenerators/getNextNumber?generator=inventory_accessionNumber&sequence=accessionNumber
setting-alpha	POST	201	application/json;charset=UTF-8	107	"-"	/servint/settings/appSettings
setting-secret	POST	201	application/json;charset=UTF-8	127	"-"	/servint/settings/appSettings
refdata-category	POST	201	application/json;charset=UTF-8	245	"-"	/servint/refdata
attestation-token	GET	200	application/json;charset=UTF-8	718	"-"	/servint/attestation/token
f21-invalid-boolean	GET	500	application/json;charset=UTF-8	101	"-"	/servint/numberGeneratorSequences
f21-empty-rhs	GET	200	application/json;charset=UTF-8	5693	11	/servint/numberGeneratorSequences
f21-escaped-literal	GET	200	application/json;charset=UTF-8	2	0	/servint/numberGeneratorSequences
f21-unbalanced-paren	GET	500	application/json;charset=UTF-8	101	"-"	/servint/numberGeneratorSequences
f21-gt-notanumber	GET	500	application/json;charset=UTF-8	101	"-"	/servint/numberGeneratorSequences
f21-10k-filter	GET	400	-	0		/servint/numberGeneratorSequences
f21-baseline-plain	GET	200	application/json;charset=UTF-8	277	1	/servint/numberGeneratorSequences
f14-malformed-json	POST	500	application/json;charset=UTF-8	101	"-"	/servint/numberGenerators
f14-missing-tenant	GET	500	application/json;charset=UTF-8	101	"-"	/servint/numberGenerators?perPage=10
f14-stats-notabool	GET	200	application/json;charset=UTF-8	5542	9	/servint/numberGenerators?stats=notabool&perPage=100&sort=code%3Basc
f14-perpage-nonnumeric	GET	200	application/json;charset=UTF-8	5542	9	/servint/numberGenerators?perPage=abc&sort=code%3Basc
f14-duplicate-code	POST	500	application/json;charset=UTF-8	101	"-"	/servint/numberGenerators
